singer,singer_number,lyrics_words
 U2, 0,  See the stone set in your eyes  
 U2, 0,  See the thorn twist in your side  
 U2, 0,  I wait for you Sleight of hand and twist of fate  
 U2, 0,  On a bed of nails she makes me wait  
 U2, 0,  And I wait without you With or without you  
 U2, 0,  With or without you Through the storm we reach the shore  
 U2, 0,  You give it all but I want more  
 U2, 0,  And I'm waiting for you With or without you  
 U2, 0,  With or without you  
 U2, 0,  I can't live With or without you  
 U2, 0,  And you give yourself away  
 U2, 0,  And you give yourself away  
 U2, 0,  And you give And you give  
 U2, 0,  And you give yourself away  
 U2, 0,  My hands are tied My body bruised she's got me with  
 U2, 0,  Nothing to win and  
 U2, 0,  Nothing left to lose  
 U2, 0,  And you give yourself away And you give yourself away  
 U2, 0,  And you give  
 U2, 0,  And you give  
 U2, 0,  And you give yourself away  
 U2, 0,  With or without you  
 U2, 0,  With or without you  
 U2, 0,  I can't live  
 U2, 0,  With or without you  
 U2, 0,  With or without you  
 U2, 0,  With or without you  
 U2, 0,  I can't live  
 U2, 0,  With or without you  
 U2, 0,  With or without you Is it getting better  
 U2, 0,  Or do you feel the same  
 U2, 0,  Will it make it easier on you now  
 U2, 0,  You got someone to blame You say one love one life  
 U2, 0,  When it's one need in the night  
 U2, 0,  One love we get to share it  
 U2, 0,  Leaves you baby if you don't care for it Did I disappoint you  
 U2, 0,  Or leave a bad taste in your mouth  
 U2, 0,  You act like you never had love  
 U2, 0,  And you want me to go without Well it's too late tonight  
 U2, 0,  To drag the past out into the light  
 U2, 0,  We're one but we're not the same  
 U2, 0,  We get to carry each other carry each other  
 U2, 0,  One Have you come here for forgiveness  
 U2, 0,  Have you come to raise the dead  
 U2, 0,  Have you come here to play Jesus  
 U2, 0,  To the lepers in your head Did I ask too much More than a lot  
 U2, 0,  You gave me nothin now it's all I got  
 U2, 0,  We're one but we're not the same  
 U2, 0,  Well we hurt each other then we do it again You say love is a temple love a higher law  
 U2, 0,  Love is a temple love the higher law  
 U2, 0,  You ask me to enter but then you make me crawl  
 U2, 0,  And I can't be holdin on to what you got  
 U2, 0,  When all you got is hurt One love one blood  
 U2, 0,  One life you got to do what you should  
 U2, 0,  One life with each other  
 U2, 0,  Sisters brothers One life but we're not the same  
 U2, 0,  We get to carry each other carry each other  
 U2, 0,  One  
 U2, 0,  One I have climbed highest mountains  
 U2, 0,  I have run through the fields  
 U2, 0,  Only to be with you  
 U2, 0,  Only to be with you  
 U2, 0,  I have run  
 U2, 0,  I have crawled  
 U2, 0,  I have scaled these city walls  
 U2, 0,  These city walls  
 U2, 0,  Only to be with you But I still haven't found what I'm looking for  
 U2, 0,  But I still haven't found what I'm looking for I have kissed honey lips  
 U2, 0,  Felt the healing in her fingertips  
 U2, 0,  Burning like a fire  
 U2, 0,  This burning desire I have spoke with the tongue of angels  
 U2, 0,  I have held the hand of a devil  
 U2, 0,  It was warm in the night  
 U2, 0,  I was cold as a stone But I still haven't found what I'm looking for  
 U2, 0,  But I still haven't found what I'm looking for I believe in the kingdom come  
 U2, 0,  Then all the colors will bleed into one  
 U2, 0,  Bleed into one  
 U2, 0,  But yes I'm still running You broke the bonds  
 U2, 0,  And you loosed the chains  
 U2, 0,  Carried the cross  
 U2, 0,  Of my shame  
 U2, 0,  Oh my shame  
 U2, 0,  You know I believe it  
 U2, 0,  But I still haven't found what I'm looking for  
 U2, 0,  But I still haven't found what I'm looking for  
 U2, 0,  But I still haven't found what I'm looking for  
 U2, 0,  But I still haven't found what I'm looking for The heart is a bloom shoots up through the stony ground  
